Page,Info
Start,""""""
Streaks,"Här ser du en lista över dina skapade ""streaks"". Klicka på knappen ""Ny Streak"" och fyll i fälten för att skapa en ny."
Goals,"Här ser du en lista över dina skapade ""Goals"". Klicka på knappen ""Ny Goal"" och fyll i fälten för att skapa en ny."
myDay,""""""
myWeek,""""""
myMonth,""""""
Journal,""""""
Mina Ord,""""""
Dagbok,""""""
Bullet,""""""
Settings,""""""
Text-Settings,""""""
Account-Settings,""""""
Time-Settings,""""""
